YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-10,WEEKDAY,21,TRAIN,EW25,2513,7066
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,EW25,1331,2592
2020-10,WEEKDAY,16,TRAIN,CC2,3677,2153
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,CC2,1380,1091
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,CC12,1382,1470
2020-10,WEEKDAY,14,TRAIN,CC12,5352,4028
2020-10,WEEKDAY,16,TRAIN,NS20,47477,19612
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,NS20,11143,8043
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,NS13,13772,19473
2020-10,WEEKDAY,21,TRAIN,NS13,31823,53228
2020-10,WEEKDAY,5,TRAIN,NS13,25105,3509
2020-10,WEEKENDS/HOLIDAY,5,TRAIN,NS13,4793,679
2020-10,WEEKDAY,5,TRAIN,PW6,612,4
2020-10,WEEKENDS/HOLIDAY,5,TRAIN,PW6,150,0
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,CC21,3340,3732
2020-10,WEEKDAY,13,TRAIN,CC21,7474,7501
2020-10,WEEKDAY,14,TRAIN,PE7,2697,3837
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1451,1327
2020-10,WEEKDAY,10,TRAIN,CC20,4035,2732
2020-10,WEEKENDS/HOLIDAY,10,TRAIN,CC20,1862,1249
2020-10,WEEKDAY,16,TRAIN,NS14,20034,29898
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,NS14,9622,10454
2020-10,WEEKDAY,11,TRAIN,NS15,18220,10369
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,NS15,6038,3165
2020-10,WEEKDAY,5,TRAIN,CC22/EW21,2234,1110
2020-10,WEEKENDS/HOLIDAY,5,TRAIN,CC22/EW21,352,142
2020-10,WEEKDAY,11,TRAIN,BP4,4243,1879
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,BP4,546,254
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2,439,727
2020-10,WEEKDAY,11,TRAIN,NS27/CE2,1299,1493
2020-10,WEEKDAY,9,TRAIN,NS17/CC15,23473,6496
2020-10,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,7115,2324
2020-10,WEEKENDS/HOLIDAY,6,TRAIN,EW10,2730,821
2020-10,WEEKDAY,6,TRAIN,EW10,14412,3466
2020-10,WEEKDAY,8,TRAIN,NS28,942,3037
2020-10,WEEKENDS/HOLIDAY,8,TRAIN,NS28,347,2617
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,EW33,890,1966
2020-10,WEEKDAY,7,TRAIN,EW33,2128,10432
2020-10,WEEKDAY,18,TRAIN,BP12,2649,5409
2020-10,WEEKENDS/HOLIDAY,18,TRAIN,BP12,452,402
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,108,26
2020-10,WEEKDAY,0,TRAIN,EW14/NS26,264,50
2020-10,WEEKDAY,0,TRAIN,CG2,28,15
